model,kind,best_epoch,rows,MAE,RMSE,Spearman,prediction_std,true_std,pred_std_true_std,error_vs_true_Pearson,low_target_MAE,mid_target_MAE,high_target_MAE,below_train_p10_MAE,above_train_p90_MAE,tail_MAE
Tail-aware w2: best val MAE,tailaware,6,117,0.964546872000409,1.321543532149217,0.3693821277105906,0.5331485467565046,1.3705153605190643,0.38901318592633777,-0.9219974968520013,1.1315395706578304,0.4442274797530401,1.3836736807952057,1.719333752989769,2.21776815255483,1.9685509527722995
Tail-aware w2: best val Spearman,tailaware,10,117,0.9912054681370401,1.3412056591128558,0.3871854815747276,0.6721893183350641,1.3705153605190643,0.49046463666082624,-0.8759219815665866,1.4919285523264032,0.5237073784782773,1.007622834798452,2.083790048956871,1.6225279569625854,1.8531590029597282
Tail-aware w2: best val spread,tailaware,20,117,0.9426014810545832,1.293784624403441,0.44783377541998226,0.7988819201612435,1.3705153605190643,0.5829062140964825,-0.82219675252163,1.1430412781865973,0.5486234994161696,1.1839626415355786,1.5631601214408875,1.804594357808431,1.683877239624659
Tail-aware w2: best val tail MAE,tailaware,20,117,0.9426014810545832,1.293784624403441,0.44783377541998226,0.7988819201612435,1.3705153605190643,0.5829062140964825,-0.82219675252163,1.1430412781865973,0.5486234994161696,1.1839626415355786,1.5631601214408875,1.804594357808431,1.683877239624659
Baseline: pooled all-CDR,baseline,,117,0.9373225350665231,1.305612524795426,0.36994410226438273,0.4344868417430878,1.3705153605190643,0.3170244232640572,-0.9484198744256153,1.167428920143529,0.37729657263982863,1.3367022050393593,1.8650448024272919,2.0886817375818887,1.9768632700045903
Baseline: cross-attention,baseline,,117,0.9522644902905847,1.3007549065265935,0.3860765184552443,0.5378731373918477,1.3705153605190643,0.392460495435918,-0.9202201291279888,1.4181862442116988,0.3875831990014939,1.1147398304294895,2.0272849649190903,1.848310073216756,1.937797519067923
Tail-aware w3: best val MAE,comparison,,117,0.9697639677259657,1.3294719573584812,0.35832246849196,0.6035228870683657,1.3705153605190643,0.44036200137135967,-0.9003668309482161,1.1392685174942017,0.4787107195172991,1.3530900091738314,1.7148930430412292,2.152682383855184,1.9337877134482067
Tail-aware w3: best val Spearman,comparison,,117,0.9697639677259657,1.3294719573584812,0.35832246849196,0.6035228870683657,1.3705153605190643,0.44036200137135967,-0.9003668309482161,1.1392685174942017,0.4787107195172991,1.3530900091738314,1.7148930430412292,2.152682383855184,1.9337877134482067
Tail-aware w3: best val spread,comparison,,117,1.0058142996241903,1.3522802013091486,0.4211811955821307,1.0218298240310886,1.3705153605190643,0.7455807161797036,-0.7167041970612736,1.1979366666392277,0.7676241681689308,1.078877423260663,1.5713598430156708,1.574735164642334,1.5730475038290024
Tail-aware w3: best val tail MAE,comparison,,117,0.9872601276788956,1.344214839495373,0.42408847727374904,0.9982736947519063,1.3705153605190643,0.7283929268576921,-0.7307944779693547,1.113302795510543,0.697539142199925,1.1866833712603595,1.4900650084018707,1.7391033967336018,1.6145842025677362
